 [DEBUG] 2019-08-12 22:34:26,459 [MainThread:3852] [django.utils.autoreload:340] [autoreload:tick] - File D:\niki\test-dev-code\haizeiclass\django_interface_project\venv\Lib\site-packages\django\template\__init__.py first seen with mtime 1563109889.6017163
 [DEBUG] 2019-08-12 22:34:26,459 [MainThread:3852] [django.utils.autoreload:340] [autoreload:tick] - File C:\ProgramData\Anaconda3\Lib\pathlib.py first seen with mtime 1540019059.0
 [DEBUG] 2019-08-12 22:34:26,459 [MainThread:3852] [django.utils.autoreload:340] [autoreload:tick] - File C:\ProgramData\Anaconda3\Lib\sqlite3\dbapi2.py first seen with mtime 1540019059.0
 [DEBUG] 2019-08-12 22:34:26,459 [MainThread:3852] [django.utils.autoreload:340] [autoreload:tick] - File D:\niki\test-dev-code\haizeiclass\django_interface_project\django_interface_project\__init__.py first seen with mtime 1563109916.7285187
 [DEBUG] 2019-08-12 22:34:26,460 [MainThread:3852] [django.utils.autoreload:340] [autoreload:tick] - File C:\ProgramData\Anaconda3\Lib\heapq.py first seen with mtime 1540019059.0
 [DEBUG] 2019-08-12 22:34:26,460 [MainThread:3852] [django.utils.autoreload:340] [autoreload:tick] - File D:\niki\test-dev-code\haizeiclass\django_interface_project\venv\Lib\site-packages\django\utils\dates.py first seen with mtime 1563109889.6497602
 [DEBUG] 2019-08-12 22:34:26,460 [MainThread:3852] [django.utils.autoreload:340] [autoreload:tick] - File D:\niki\test-dev-code\haizeiclass\django_interface_project\venv\Lib\site-packages\django\template\loader.py first seen with mtime 1563109889.6097236
 [DEBUG] 2019-08-12 22:34:26,460 [MainThread:3852] [django.utils.autoreload:340] [autoreload:tick] - File D:\niki\test-dev-code\haizeiclass\django_interface_project\venv\Lib\site-packages\django\db\models\fields\__init__.py first seen with mtime 1563109889.5106342
 [DEBUG] 2019-08-12 22:34:26,460 [MainThread:3852] [django.utils.autoreload:340] [autoreload:tick] - File D:\niki\test-dev-code\haizeiclass\django_interface_project\venv\Lib\site-packages\django\views\generic\base.py first seen with mtime 1563109889.694801
 [DEBUG] 2019-08-12 22:34:26,460 [MainThread:3852] [django.utils.autoreload:340] [autoreload:tick] - File C:\ProgramData\Anaconda3\Lib\ctypes\wintypes.py first seen with mtime 1540019059.0
